trade_day,signal_day,direction,entry_price,exit_price,final_return,final_return_pct,max_return,max_return_pct,max_drawdown,max_drawdown_pct,hours_captured
2024-01-02,2024-01-01,short,37685.3,37725.63,-40.32999999999447,-0.10701785576868028,225.5,0.5983765553146717,106.21999999999389,0.2818605663215999,11
2024-01-03,2024-01-02,short,37649.99,37442.11,207.87999999999738,0.5521382608600889,253.22999999999593,0.6725898200769667,9.430000000000291,0.025046487396146164,11
2024-01-09,2024-01-08,short,37562.59,37494.53,68.05999999999767,0.1811909136191026,201.63999999999942,0.5368106938312812,3.4800000000032014,0.009264536870336156,11
2024-01-10,2024-01-09,short,37493.97,37695.57,-201.59999999999854,-0.5376864599827613,26.450000000004366,0.07054467691739329,247.95999999999913,0.6613330090145139,11
2024-01-11,2024-01-10,short,37695.6,37694.53,1.069999999999709,0.002838527573509134,273.98999999999796,0.7268487568840871,104.65000000000146,0.2776186080073044,11
2024-01-12,2024-01-11,short,37699.48,37541.8,157.6800000000003,0.4182551059059708,253.72000000000116,0.6730066303301826,121.80999999999767,0.3231079049366136,11
2024-01-17,2024-01-16,short,37212.07,37264.94,-52.87000000000262,-0.14207755709371345,82.09999999999854,0.22062733946270266,159.4300000000003,0.42843625737563185,11
2024-01-18,2024-01-17,short,37308.8,37467.33,-158.52999999999884,-0.4249131572175969,187.85000000000582,0.5035005146239112,213.25999999999476,0.571607770820811,11
2024-01-19,2024-01-18,short,37541.8,37868.8,-327.0,-0.8710290929044424,95.35000000000582,0.2539835596588491,404.6499999999942,1.0778652062500842,11
2024-01-24,2024-01-23,short,37966.3,37863.31,102.99000000000524,0.27126688668636456,195.08000000000175,0.5138241019009009,112.5,0.2963154165667974,11
2024-01-30,2024-01-29,short,38284.3,38455.64,-171.3399999999965,-0.44754638324325247,46.5,0.12145971063856462,213.80999999999767,0.5584795856264779,11
2024-02-01,2024-01-31,short,38218.09,38513.17,-295.08000000000175,-0.7720950994672988,114.94999999999709,0.3007737958647256,330.3000000000029,0.8642504112581318,11
2024-02-07,2024-02-06,short,38478.47,38689.15,-210.6800000000003,-0.5475269676782895,22.860000000000582,0.05940984659733243,270.1900000000023,0.7021848841702966,11
2024-02-09,2024-02-08,short,38743.0,38632.3,110.69999999999709,0.28572903492243007,179.37999999999738,0.46299976769996487,148.5,0.3832950468471724,11
2024-02-12,2024-02-11,short,38636.8,38781.4,-144.59999999999854,-0.37425459665396343,21.5,0.05564643034619844,292.2199999999939,0.7563255756170124,11
2024-02-14,2024-02-13,short,38373.63,38437.85,-64.22000000000116,-0.1673545088124349,182.0699999999997,0.47446645000746535,86.02000000000407,0.22416435453201608,11
2024-02-21,2024-02-20,short,38509.5,38563.29,-53.79000000000087,-0.13967981926537834,175.37000000000262,0.4553941235279674,168.62999999999738,0.43789194873991455,11
2024-02-22,2024-02-21,short,38747.38,39037.95,-290.5699999999997,-0.749908768025089,12.5,0.03226024572500128,404.7700000000041,1.0446383729687119,11
2024-02-23,2024-02-22,short,39068.11,39104.12,-36.01000000000204,-0.09217236257398179,1.9899999999979627,0.005093668467704127,216.76000000000204,0.5548259181209484,11
2024-02-26,2024-02-25,short,39088.8,39047.28,41.520000000004075,0.10621968441089026,61.03000000000611,0.1561316796627323,155.64999999999418,0.3981959026626404,11
2024-02-27,2024-02-26,short,39093.57,38964.64,128.9300000000003,0.32979848092665953,216.4300000000003,0.5536204547192807,19.25,0.04924083423437665,11
2024-03-06,2024-03-05,short,38639.61,38674.55,-34.94000000000233,-0.0904253433199826,79.44999999999709,0.20561801736610977,221.34999999999854,0.5728577488230304,11
2024-11-08,2024-11-07,short,43733.0,43974.0,-241.0,-0.5510712734090961,12.0,0.027439233530743377,405.0,0.9260741316625888,11
2024-11-11,2024-11-10,short,44154.0,44278.0,-124.0,-0.28083525841373375,9.0,0.020383204239706482,329.0,0.7451193549848258,11
2024-11-14,2024-11-13,short,44002.0,43749.0,253.0,0.5749738648243262,324.0,0.7363301668105995,109.0,0.24771601290850417,11
2024-11-20,2024-11-19,short,43338.0,43434.0,-96.0,-0.221514606119341,295.0,0.6806959250542249,112.0,0.2584337071392312,11
2024-11-22,2024-11-21,short,43784.0,44322.0,-538.0,-1.2287593641512882,50.0,0.11419696692855838,545.0,1.2447469395212862,11
2024-11-25,2024-11-24,short,44581.0,44751.0,-170.0,-0.38132836858751484,85.0,0.19066418429375742,221.0,0.4957268791637693,11
2024-11-27,2024-11-26,short,44824.0,44723.0,101.0,0.2253257183651615,154.0,0.34356594681420666,176.0,0.39264679635909333,11
2024-12-03,2024-12-02,short,44760.0,44764.0,-4.0,-0.008936550491510277,192.0,0.42895442359249336,113.0,0.25245755138516535,11
2024-12-04,2024-12-03,short,44908.0,44991.0,-83.0,-0.1848223033757905,142.0,0.3162020130043645,157.0,0.34960363409637485,11
2024-12-05,2024-12-04,short,44964.0,44759.0,205.0,0.45592029178898674,255.0,0.5671203629570323,83.0,0.1845921181389556,11
2024-12-09,2024-12-08,short,44618.0,44375.0,243.0,0.5446232462234972,255.0,0.5715182213456452,101.0,0.22636604061141244,11
2024-12-13,2024-12-12,short,44008.0,43778.0,230.0,0.5226322486820578,265.0,0.6021632430467188,15.0,0.03408471187056899,11
2024-12-16,2024-12-15,short,43850.0,43707.0,143.0,0.3261117445838084,159.0,0.36259977194982895,116.0,0.26453819840364884,11
