direction,trade_count,sum_final_return,sum_max_return,sum_max_drawdown,avg_final_return,avg_max_return,avg_max_drawdown
buy,70,1726.2999999999738,16733.78999999995,15252.090000000033,24.661428571428196,239.05414285714215,217.88700000000048
short,63,921.2700000000041,14498.94000000001,10863.839999999982,14.623333333333399,230.14190476190493,172.44190476190448
